 t       A(O)      A(F)
 2.80  8.652639  4.674403
 2.81  8.652178  4.673936
 2.82  8.651717  4.673435
 2.83  8.651267  4.672968
 2.84  8.650827  4.672505
 2.85  8.650381  4.672036
 2.86  8.649952  4.671572
 2.87  8.649523  4.671103
 2.88  8.649098  4.670672
 2.89  8.648684  4.670241
 2.90  8.648266  4.669805
 2.91  8.647863  4.669374
 2.92  8.647460  4.668941
 2.93  8.647062  4.668509
 2.94  8.646669  4.668110
 2.95  8.646282  4.667677
 2.96  8.645901  4.667278
 2.97  8.645519  4.666878
 2.98  8.645143  4.666478
 2.99  8.644776  4.666083
 3.00  8.644411  4.665682
 3.01  8.644051  4.665316
 3.02  8.643695  4.664920
 3.03  8.643341  4.664553
 3.04  8.642996  4.664191
 3.05  8.642653  4.663823
 3.06  8.642314  4.663461
 3.07  8.641976  4.663093
 3.08  8.641642  4.662764
 3.09  8.641319  4.662401
 3.10  8.640997  4.662072
 3.11  8.640669  4.661703
 3.12  8.640352  4.661373
 3.13  8.640040  4.661044
 3.14  8.639734  4.660714
 3.15  8.639428  4.660384
 3.16  8.639128  4.660053
 3.17  8.638827  4.659758
 3.18  8.638532  4.659427
 3.19  8.638237  4.659096
 3.20  8.637953  4.658800
 3.21  8.637664  4.658504
 3.22  8.637390  4.658212
 3.23  8.637112  4.657916
 3.24  8.636833  4.657619
 3.25  8.636571  4.657327
 3.26  8.636298  4.657029
 3.27  8.636037  4.656732
 3.28  8.635780  4.656475
 3.29  8.635519  4.656177
 3.30  8.635268  4.655919
 3.31  8.635018  4.655657
 3.32  8.634772  4.655399
 3.33  8.634526  4.655105
 3.34  8.634282  4.654842
 3.35  8.634048  4.654620
 3.36  8.633814  4.654361
 3.37  8.633581  4.654098
 3.38  8.633352  4.653839
 3.39  8.633130  4.653616
 3.40  8.632907  4.653356
 3.41  8.632690  4.653133
 3.42  8.632473  4.652909
 3.43  8.632256  4.652650
 3.44  8.632044  4.652426
 3.45  8.631839  4.652202
 3.46  8.631633  4.651978
 3.47  8.631428  4.651754
 3.48  8.631228  4.651529
 3.49  8.631034  4.651305
 3.50  8.630834  4.651116
 3.51  8.630646  4.650892
 3.52  8.630452  4.650703
 3.53  8.630268  4.650483
 3.54  8.630086  4.650294
 3.55  8.629898  4.650069
 3.56  8.629726  4.649884
 3.57  8.629543  4.649695
 3.58  8.629367  4.649506
 3.59  8.629201  4.649321
 3.60  8.629030  4.649132
 3.61  8.628859  4.648942
 3.62  8.628693  4.648757
 3.63  8.628528  4.648568
 3.64  8.628367  4.648382
 3.65  8.628208  4.648193
 3.66  8.628054  4.648043
 3.67  8.627895  4.647854
 3.68  8.627746  4.647704
 3.69  8.627597  4.647519
 3.70  8.627444  4.647365
 3.71  8.627301  4.647216
 3.72  8.627158  4.647030
 3.73  8.627011  4.646876
 3.74  8.626874  4.646726
 3.75  8.626737  4.646577
 3.76  8.626600  4.646427
 3.77  8.626459  4.646273
 3.78  8.626328  4.646123
 3.79  8.626197  4.645973
 3.80  8.626071  4.645823
 3.81  8.625940  4.645673
 3.82  8.625811  4.645519
 3.83  8.625685  4.645369
 3.84  8.625566  4.645255
 3.85  8.625447  4.645105
 3.86  8.625328  4.644955
 3.87  8.625209  4.644841
 3.88  8.625089  4.644691
 3.89  8.624976  4.644577
 3.90  8.624863  4.644463
 3.91  8.624755  4.644313
 3.92  8.624642  4.644199
 3.93  8.624535  4.644085
 3.94  8.624427  4.643934
 3.95  8.624320  4.643820
 3.96  8.624218  4.643706
 3.97  8.624111  4.643592
 3.98  8.624010  4.643478
 3.99  8.623908  4.643364
 4.00  8.623817  4.643254
 4.01  8.623716  4.643140
 4.02  8.623620  4.643026
 4.03  8.623525  4.642912
 4.04  8.623429  4.642797
 4.05  8.623344  4.642688
 4.06  8.623249  4.642573
 4.07  8.623159  4.642496
 4.08  8.623070  4.642381
 4.09  8.622987  4.642267
 4.10  8.622902  4.642193
 4.11  8.622818  4.642079
 4.12  8.622729  4.641965
 4.13  8.622650  4.641891
 4.14  8.622566  4.641777
 4.15  8.622489  4.641699
 4.16  8.622410  4.641589
 4.17  8.622332  4.641511
 4.18  8.622255  4.641396
 4.19  8.622182  4.641323
 4.20  8.622104  4.641245
 4.21  8.622027  4.641130
 4.22  8.621960  4.641057
 4.23  8.621882  4.640979
 4.24  8.621815  4.640905
 4.25  8.621744  4.640827
 4.26  8.621672  4.640712
 4.27  8.621611  4.640639
 4.28  8.621540  4.640561
 4.29  8.621479  4.640487
 4.30  8.621414  4.640409
 4.31  8.621353  4.640336
 4.32  8.621287  4.640257
 4.33  8.621226  4.640184
 4.34  8.621161  4.640106
 4.35  8.621106  4.640032
 4.36  8.621047  4.639954
 4.37  8.620986  4.639880
 4.38  8.620926  4.639802
 4.39  8.620871  4.639765
 4.40  8.620822  4.639692
 4.41  8.620763  4.639613
 4.42  8.620714  4.639540
 4.43  8.620655  4.639498
 4.44  8.620606  4.639424
 4.45  8.620557  4.639351
 4.46  8.620504  4.639309
 4.47  8.620455  4.639236
 4.48  8.620408  4.639157
 4.49  8.620359  4.639120
 4.50  8.620316  4.639047
 4.51  8.620263  4.639005
 4.52  8.620220  4.638931
 4.53  8.620177  4.638894
 4.54  8.620130  4.638816
 4.55  8.620087  4.638779
 4.56  8.620050  4.638705
 4.57  8.620008  4.638668
 4.58  8.619966  4.638590
 4.59  8.619924  4.638553
 4.60  8.619887  4.638516
 4.61  8.619846  4.638438
 4.62  8.619809  4.638401
 4.63  8.619772  4.638364
 4.64  8.619736  4.638290
 4.65  8.619701  4.638248
 4.66  8.619664  4.638211
 4.67  8.619633  4.638174
 4.68  8.619597  4.638137
 4.69  8.619562  4.638059
 4.70  8.619531  4.638022
 4.71  8.619500  4.637985
 4.72  8.619470  4.637948
 4.73  8.619439  4.637911
 4.74  8.619409  4.637874
 4.75  8.619373  4.637832
 4.76  8.619349  4.637795
 4.77  8.619318  4.637721
 4.78  8.619294  4.637684
 4.79  8.619263  4.637647
 4.80  8.619239  4.637610
 4.81  8.619210  4.637569
 4.82  8.619185  4.637532
 4.83  8.619161  4.637495
 4.84  8.619136  4.637495
 4.85  8.619112  4.637458
 4.86  8.619093  4.637420
 4.87  8.619069  4.637383
 4.88  8.619044  4.637346
 4.89  8.619022  4.637305
 4.90  8.619003  4.637268
 4.91  8.618979  4.637231
 4.92  8.618960  4.637194
 4.93  8.618942  4.637194
 4.94  8.618923  4.637157
 4.95  8.618905  4.637119
 4.96  8.618887  4.637082
 4.97  8.618868  4.637045
 4.98  8.618850  4.637045
 4.99  8.618831  4.637008
 5.00  8.618819  4.636971
 5.01  8.618801  4.636971
 5.02  8.618782  4.636934
 5.03  8.618770  4.636897
 5.04  8.618753  4.636855
 5.05  8.618735  4.636855
 5.06  8.618723  4.636818
 5.07  8.618711  4.636818
 5.08  8.618698  4.636781
 5.09  8.618686  4.636744
 5.10  8.618674  4.636744
 5.11  8.618661  4.636707
 5.12  8.618649  4.636670
 5.13  8.618637  4.636670
 5.14  8.618625  4.636633
 5.15  8.618612  4.636633
 5.16  8.618606  4.636596
 5.17  8.618594  4.636596
 5.18  8.618588  4.636558
 5.19  8.618576  4.636558
 5.20  8.618563  4.636521
 5.21  8.618557  4.636521
 5.22  8.618551  4.636484
 5.23  8.618543  4.636489
 5.24  8.618537  4.636451
 5.25  8.618531  4.636451
 5.26  8.618525  4.636414
 5.27  8.618512  4.636414
 5.28  8.618506  4.636377
 5.29  8.618500  4.636377
 5.30  8.618494  4.636340
 5.31  8.618488  4.636340
 5.32  8.618482  4.636340
 5.33  8.618476  4.636303
 5.34  8.618470  4.636303
 5.35  8.618463  4.636266
 5.36  8.618457  4.636266
 5.37  8.618451  4.636266
 5.38  8.618451  4.636229
 5.39  8.618445  4.636229
 5.40  8.618439  4.636191
 5.41  8.618439  4.636191
 5.42  8.618433  4.636191
 5.43  8.618431  4.636159
 5.44  8.618431  4.636159
 5.45  8.618431  4.636159
 5.46  8.618425  4.636121
 5.47  8.618425  4.636121
 5.48  8.618419  4.636121
 5.49  8.618419  4.636084
 5.50  8.618419  4.636084
 5.51  8.618419  4.636084
 5.52  8.618413  4.636084
 5.53  8.618413  4.636047
 5.54  8.618417  4.636052
 5.55  8.618417  4.636052
 5.56  8.618417  4.636052
 5.57  8.618417  4.636014
 5.58  8.618417  4.636014
 5.59  8.618417  4.636014
 5.60  8.618417  4.636014
 5.61  8.618423  4.635977
 5.62  8.618423  4.635977
