 t       A(O)      A(F)      fg       z
 1.94  8.901848  4.857321  0.529740  2.554967
 1.95  8.900611  4.856076  0.531410  2.545546
 1.96  8.899371  4.854827  0.533060  2.536185
 1.97  8.898200  4.853604  0.534700  2.526883
 1.98  8.896992  4.852378  0.536320  2.517641
 1.99  8.895816  4.851196  0.537920  2.508458
 2.00  8.894675  4.850016  0.539510  2.499333
 2.01  8.893532  4.848857  0.541090  2.490265
 2.02  8.892420  4.847695  0.542650  2.481254
 2.03  8.891310  4.846583  0.544190  2.472299
 2.04  8.890232  4.845469  0.545720  2.463400
 2.05  8.889152  4.844377  0.547240  2.454556
 2.06  8.888074  4.843286  0.548730  2.445766
 2.07  8.887029  4.842217  0.550220  2.437031
 2.08  8.886016  4.841171  0.551680  2.428349
 2.09  8.885001  4.840122  0.553140  2.419721
 2.10  8.883988  4.839100  0.554570  2.411144
 2.11  8.883008  4.838075  0.556000  2.402620
 2.12  8.882026  4.837073  0.557400  2.394147
 2.13  8.881047  4.836098  0.558800  2.385725
 2.14  8.880097  4.835117  0.560180  2.377354
 2.15  8.879184  4.834163  0.561540  2.369032
 2.16  8.878235  4.833207  0.562890  2.360760
 2.17  8.877324  4.832278  0.564230  2.352537
 2.18  8.876441  4.831343  0.565550  2.344362
 2.19  8.875527  4.830436  0.566860  2.336236
 2.20  8.874646  4.829552  0.568150  2.328157
 2.21  8.873803  4.828671  0.569440  2.320125
 2.22  8.872955  4.827784  0.570700  2.312140
 2.23  8.872110  4.826924  0.571960  2.304201
 2.24  8.871263  4.826064  0.573200  2.296308
 2.25  8.870451  4.825226  0.574430  2.288460
 2.26  8.869637  4.824388  0.575650  2.280658
 2.27  8.868827  4.823578  0.576850  2.272899
 2.28  8.868016  4.822766  0.578050  2.265186
 2.29  8.867234  4.821948  0.579230  2.257515
 2.30  8.866492  4.821159  0.580400  2.249888
 2.31  8.865717  4.820399  0.581550  2.242305
 2.32  8.864973  4.819607  0.582700  2.234763
 2.33  8.864232  4.818845  0.583830  2.227264
 2.34  8.863485  4.818101  0.584940  2.219807
 2.35  8.862742  4.817362  0.586050  2.212390
 2.36  8.862035  4.816621  0.587140  2.205015
 2.37  8.861330  4.815909  0.588230  2.197681
 2.38  8.860621  4.815166  0.589300  2.190387
 2.39  8.859910  4.814474  0.590360  2.183133
 2.40  8.859239  4.813759  0.591400  2.175918
 2.41  8.858568  4.813069  0.592440  2.168743
 2.42  8.857895  4.812377  0.593460  2.161607
 2.43  8.857222  4.811711  0.594470  2.154509
 2.44  8.856548  4.811044  0.595480  2.147449
 2.45  8.855909  4.810376  0.596470  2.140427
 2.46  8.855270  4.809707  0.597450  2.133443
 2.47  8.854635  4.809067  0.598410  2.126496
 2.48  8.853994  4.808422  0.599370  2.119586
 2.49  8.853357  4.807781  0.600320  2.112712
 2.50  8.852757  4.807165  0.601260  2.105875
 2.51  8.852118  4.806549  0.602190  2.099073
 2.52  8.851516  4.805931  0.603100  2.092307
 2.53  8.850913  4.805313  0.604010  2.085577
 2.54  8.850352  4.804725  0.604910  2.078881
 2.55  8.849747  4.804131  0.605790  2.072221
 2.56  8.849180  4.803537  0.606670  2.065595
 2.57  8.848579  4.802946  0.607540  2.059002
 2.58  8.848014  4.802382  0.608400  2.052444
 2.59  8.847487  4.801816  0.609250  2.045920
 2.60  8.846921  4.801250  0.610100  2.039428
 2.61  8.846355  4.800710  0.610930  2.032970
 2.62  8.845826  4.800142  0.611760  2.026544
 2.63  8.845296  4.799601  0.612580  2.020151
 2.64  8.844770  4.799089  0.613390  2.013790
 2.65  8.844239  4.798547  0.614200  2.007462
 2.66  8.843712  4.798034  0.614990  2.001164
 2.67  8.843223  4.797495  0.615780  1.994899
 2.68  8.842732  4.797008  0.616560  1.988664
 2.69  8.842204  4.796494  0.617340  1.982460
 2.70  8.841713  4.795980  0.618100  1.976287
 2.71  8.841259  4.795492  0.618860  1.970145
 2.72  8.840767  4.795003  0.619620  1.964032
 2.73  8.840279  4.794518  0.620360  1.957950
 2.74  8.839824  4.794055  0.621100  1.951897
 2.75  8.839336  4.793569  0.621830  1.945874
 2.76  8.838880  4.793105  0.622550  1.939880
 2.77  8.838428  4.792646  0.623270  1.933915
 2.78  8.837976  4.792186  0.623980  1.927978
 2.79  8.837562  4.791752  0.624680  1.922070
 2.80  8.837109  4.791291  0.625380  1.916191
 2.81  8.836695  4.790856  0.626070  1.910340
 2.82  8.836241  4.790421  0.626750  1.904516
 2.83  8.835825  4.789986  0.627430  1.898720
 2.84  8.835414  4.789582  0.628100  1.892952
 2.85  8.834998  4.789146  0.628770  1.887211
 2.86  8.834586  4.788741  0.629430  1.881497
 2.87  8.834169  4.788331  0.630080  1.875809
 2.88  8.833795  4.787926  0.630720  1.870149
 2.89  8.833382  4.787520  0.631360  1.864514
 2.90  8.833007  4.787113  0.632000  1.858906
 2.91  8.832593  4.786734  0.632620  1.853324
 2.92  8.832218  4.786327  0.633250  1.847768
 2.93  8.831843  4.785947  0.633860  1.842237
 2.94  8.831467  4.785567  0.634470  1.836732
 2.95  8.831091  4.785186  0.635070  1.831252
 2.96  8.830753  4.784833  0.635670  1.825797
 2.97  8.830381  4.784456  0.636270  1.820367
 2.98  8.830004  4.784102  0.636850  1.814962
 2.99  8.829670  4.783752  0.637430  1.809581
 3.00  8.829331  4.783370  0.638010  1.804224
 3.01  8.828958  4.783020  0.638580  1.798891
 3.02  8.828624  4.782697  0.639140  1.793583
 3.03  8.828285  4.782341  0.639700  1.788298
 3.04  8.827950  4.781990  0.640260  1.783037
 3.05  8.827615  4.781666  0.640800  1.777799
 3.06  8.827318  4.781342  0.641350  1.772584
 3.07  8.826983  4.780990  0.641890  1.767393
 3.08  8.826647  4.780666  0.642420  1.762224
 3.09  8.826350  4.780368  0.642950  1.757079
 3.10  8.826053  4.780043  0.643470  1.751955
 3.11  8.825717  4.779718  0.643990  1.746855
 3.12  8.825424  4.779425  0.644500  1.741776
 3.13  8.825126  4.779099  0.645000  1.736720
 3.14  8.824829  4.778801  0.645510  1.731685
 3.15  8.824535  4.778507  0.646000  1.726672
 3.16  8.824237  4.778181  0.646500  1.721681
 3.17  8.823943  4.777887  0.646990  1.716712
 3.18  8.823645  4.777615  0.647470  1.711763
 3.19  8.823351  4.777321  0.647950  1.706836
 3.20  8.823096  4.777026  0.648420  1.701930
 3.21  8.822797  4.776754  0.648890  1.697045
 3.22  8.822542  4.776459  0.649360  1.692181
 3.23  8.822247  4.776192  0.649820  1.687337
 3.24  8.821992  4.775924  0.650280  1.682513
 3.25  8.821737  4.775656  0.650730  1.677710
 3.26  8.821481  4.775388  0.651180  1.672927
 3.27  8.821225  4.775120  0.651630  1.668164
 3.28  8.820969  4.774852  0.652070  1.663421
 3.29  8.820714  4.774584  0.652500  1.658698
 3.30  8.820457  4.774343  0.652940  1.653995
 3.31  8.820206  4.774079  0.653370  1.649310
 3.32  8.819949  4.773838  0.653790  1.644646
 3.33  8.819693  4.773597  0.654210  1.640000
 3.34  8.819481  4.773332  0.654630  1.635373
 3.35  8.819224  4.773091  0.655040  1.630766
 3.36  8.819007  4.772849  0.655450  1.626177
 3.37  8.818754  4.772612  0.655860  1.621607
 3.38  8.818537  4.772399  0.656260  1.617056
 3.39  8.818324  4.772162  0.656660  1.612523
 3.40  8.818071  4.771924  0.657060  1.608008
 3.41  8.817854  4.771710  0.657450  1.603512
 3.42  8.817641  4.771473  0.657840  1.599033
 3.43  8.817427  4.771263  0.658220  1.594573
 3.44  8.817210  4.771021  0.658600  1.590131
 3.45  8.816996  4.770811  0.658980  1.585706
 3.46  8.816783  4.770601  0.659350  1.581299
 3.47  8.816569  4.770391  0.659720  1.576909
 3.48  8.816396  4.770181  0.660090  1.572537
 3.49  8.816182  4.769971  0.660460  1.568182
 3.50  8.815968  4.769760  0.660820  1.563844
 3.51  8.815794  4.769578  0.661170  1.559523
 3.52  8.815580  4.769368  0.661530  1.555219
 3.53  8.815406  4.769157  0.661880  1.550932
 3.54  8.815192  4.768975  0.662230  1.546662
 3.55  8.815018  4.768764  0.662570  1.542408
 3.56  8.814808  4.768586  0.662920  1.538171
 3.57  8.814634  4.768403  0.663260  1.533950
 3.58  8.814460  4.768221  0.663590  1.529745
 3.59  8.814285  4.768010  0.663930  1.525557
 3.60  8.814115  4.767831  0.664260  1.521385
 3.61  8.813941  4.767648  0.664580  1.517229
 3.62  8.813731  4.767470  0.664910  1.513088
 3.63  8.813556  4.767287  0.665230  1.508964
 3.64  8.813381  4.767132  0.665550  1.504855
 3.65  8.813251  4.766953  0.665860  1.500762
 3.66  8.813081  4.766774  0.666180  1.496684
 3.67  8.812906  4.766619  0.666490  1.492621
 3.68  8.812736  4.766441  0.666790  1.488574
 3.69  8.812561  4.766285  0.667100  1.484542
 3.70  8.812431  4.766106  0.667400  1.480525
 3.71  8.812260  4.765956  0.667700  1.476524
 3.72  8.812085  4.765772  0.668000  1.472537
 3.73  8.811955  4.765621  0.668290  1.468565
 3.74  8.811784  4.765471  0.668580  1.464607
 3.75  8.811654  4.765320  0.668870  1.460665
 3.76  8.811479  4.765164  0.669160  1.456737
 3.77  8.811348  4.765013  0.669440  1.452823
 3.78  8.811218  4.764862  0.669720  1.448924
 3.79  8.811047  4.764711  0.670000  1.445039
 3.80  8.810916  4.764560  0.670280  1.441168
 3.81  8.810786  4.764409  0.670550  1.437311
 3.82  8.810655  4.764258  0.670820  1.433469
 3.83  8.810484  4.764135  0.671090  1.429640
 3.84  8.810353  4.763983  0.671360  1.425825
 3.85  8.810223  4.763860  0.671620  1.422024
 3.86  8.810092  4.763709  0.671880  1.418237
 3.87  8.809961  4.763586  0.672140  1.414463
 3.88  8.809830  4.763435  0.672400  1.410703
 3.89  8.809699  4.763312  0.672650  1.406956
 3.90  8.809569  4.763160  0.672910  1.403223
 3.91  8.809438  4.763037  0.673160  1.399503
 3.92  8.809311  4.762918  0.673400  1.395796
 3.93  8.809180  4.762795  0.673650  1.392102
 3.94  8.809090  4.762644  0.673890  1.388422
 3.95  8.808959  4.762520  0.674130  1.384754
 3.96  8.808832  4.762402  0.674370  1.381099
 3.97  8.808701  4.762278  0.674610  1.377457
 3.98  8.808611  4.762155  0.674850  1.373828
 3.99  8.808484  4.762036  0.675080  1.370212
 4.00  8.808394  4.761941  0.675310  1.366608
 4.01  8.808263  4.761818  0.675540  1.363017
 4.02  8.808136  4.761699  0.675770  1.359438
 4.03  8.808045  4.761576  0.675990  1.355872
 4.04  8.807914  4.761452  0.676210  1.352317
 4.05  8.807828  4.761362  0.676430  1.348776
 4.06  8.807697  4.761238  0.676650  1.345246
 4.07  8.807611  4.761148  0.676870  1.341728
 4.08  8.807520  4.761024  0.677090  1.338223
 4.09  8.807393  4.760905  0.677300  1.334729
 4.10  8.807302  4.760810  0.677510  1.331248
